"","11½Ã","23È¸","414³â¿¡¾²¿©Áø±¤°³Åä´ë¿Õ¸ªºñ¿¡µµºÐ¸íÈ÷µ¿ÇØ¶ó°íÀûÇôÁ®ÀÖ±¸¿ä¿°¿¬È÷¿ì¸®³ª¶óÀÇ¹Ù´Ùµµ¼öÃµ³âºÎÅÍ¿ì¸®³ª¶óµ¿ÂÊÀÇ¹Ù","414³â¿¡¾²¿©Áø±¤°³Åä´ë¿Õ¸ªºñ¿¡µµºÐ¸íÈ÷µ¿ÇØ¶ó°íÀûÇôÁ®ÀÖ±¸¿ä¿°¿¬È÷¿ì¸®³ª¶óÀÇ¹Ù´Ùµµ¼öÃµ³âºÎÅÍ¿ì¸®³ª¶óµ¿ÂÊÀÇ¹Ù´Ù","8¿ù20","°¡¼ö±èÀåÈÆ´ÔÀÌ¿©·¯»ç¶÷µé°ú¶æÀ»ÇÕÃÄ¼­±×·¸°Ô¹ß¹þ°íÈ«º¸¸¦Çß´Âµ¥¾ÈÅ¸±õ±º¿ä","°¡Â¥Áö","°¡Â¥Áö¸¸","°­´ëÁøÇ¥¶û¹Ì¼Ç³ª¿Â","°è¹éÀÌ¶û±¤°³Åä","°í±¸·Á´ëÀå°£¸¶À»","°í¸¿´Ù","°í¹«","°øÁÖ¿©Çà","±¤°³Åä´ë¿Õ¸ªºñ","±¤°³Åä´ë¿Õº¸´Âµ¥","±¤°³Åä´ë¿ÕºÁ¼­","±¤°³ÅäÅÂ¿Õ","±«·ÓÇôÁÖ¼¼","±³°ú¼­¿©Çà","±×Àú´«¹°","±×Á¶¿ëÇÑ¿Ü±³ÇØ¼­ÀÌµæ¹ÞÀº°Ô¸Ó°¡","±×Ä¡","±×Ä¡¸¸","±Ùµ¥±×°Ç¿À¹ö°¡½ÉÇØ¼­¿ô±â´Â¸ÀÀ¸·Îº¸´Â‰V","±âºÐ","±è¼öÁ¤","³ª°¡¼ö","³ª°¡¼ö¹Û","³ª¶õ¿©ÀÚ","³ª¸ÚÁø³ð","³ª¸ÚÁø³ðÀÓ","³­ÀÌÁ¦»ç±Ø¸¸º¸°í»ç¾ßµÇ†E","³Ê±¤°³Åäº¸†V","³Í³»¹Ý¾îÁ¦³¡","³î±â´ë½ÅÁ×±â","³îÀð","´Âµ¿ÇØ¶ó°íºÒ·¯Á®¿Ô´Âµ¥¼¼·ÂÀÌÅ«¿µ±¹°ú¹Ì±¹ÀÌÀÏº»ÇØ¶ó°íÇ¥±âÇÑ´Ù¸é¸Å¿ì¾ÈÁÁÀº»óÈ²ÀÌÀÏ¾î³¯¼öµµÀÖ½À´Ï´Ùµ¶µµ¿µÀ¯±Ç¿¡ÀÖ¾î¼­¸¸¾àµ¿ÇØ°¡ÀÏº»ÇØ°¡µÈ´Ù¸éÀÏº»ÀÇÆíÀ»Á¶±Ý´õµé¾îÁÙ¼öµµÀÖÁÒ","´Ù³à¿À´Ù","´Ù¸¥³ª¶óµéÀÌÁ¶¿ëÈ÷ÀÏº»ÆíÀ»µé°í","´Ù¸¥³ª¶óÁöµµ¸¦ºÁµµ13","´ã´ö","´ã´ö°°","´ã´ö°°¾Æ","´ã´öÀÌ","´ã´öÄ«¸®½º¸¶³ª´Â¿©ÀÚ","´ã¸Á","´ã¸ÁÀÌÁ×¾ú¾î","´ç½ÅµéÀÇÀÚ¼ÕÀÇ±¹»çÃ¥¿¡µ¶µµ¶óÀÏº»ÀÌÀÏº»²¨¶ó°íÀûÈùÃ¥À»º¸¿©","´ç½ÅµéÀÇÀÚ¼ÕÀÇ±¹»çÃ¥¿¡µ¶µµ¶óÀÏº»ÀÌÀÏº»²¨¶ó°íÀûÈùÃ¥À»º¸¿©µå¸®°Ú½À´Ï±î","´ë¹Ú","´ë¿Õº»µ¥","´ë¿ÕÀÌ","´ëÃ¥","´õÁ¶¾Æ","´õÁ¶¾Æ¿ä","µ¿ÇØ¿Àºü","¸®¹öÇ®vs","¸¶·Ã°°Àº°Å","¸¸ÀÏº»ÇØ¶ó¾²°í³ª¸ÓÁö³ª¶ó´ÂÀüºÎ´Ùµ¿ÇØ¶ó°í¾¹´Ï","¸¸ÀÏº»ÇØ¶ó¾²°í³ª¸ÓÁö³ª¶ó´ÂÀüºÎ´Ùµ¿ÇØ¶ó°í¾¹´Ï´Ù","¸»¾¸","¸Â´Ù","¸Ó¸®","¸ÚÁö´Ù","¸î½Ã¿¡","¸î½Ã¿¡ÇÔ","¹«ÇÑµµÀü´àÀº²Ã","¹Ý¸ðÇÒ±î¿­","¹æ¼ÛºÐ","º¸°í»ì","º¸°í»ì¾Æ","ºÐÀÌÁÒ","ºÒ½Ö","¤µ¤²","»ç±Ø","»þ¿ö¹êµåÇÏ°í","¤·¤µ¤·","¤·¤·","¾Æ´Ô±¹»çÃ¥¿¡µ¿ÇØ¿Íµ¶µµ¶ó°íÀûÈùÃ¥À»º¸¿©","¾Æºü","¾Æ½º","¾Æ½º³¯","¾ÆÀÌ°¡¿øÇÏ´Â°É°®°í½ÍÀ¸¸é´õ½ÉÇÏ°Ô¿ïÁÒ","¾ÆÁ÷¹®°æ»õÀçÀÎµ¥±¤°³Åä´ë¿Õ¿¡³ª¿À´ÂÀÌÅÂ°ïº½","¾ÆÂ÷»ê","¾ÆÇÁ´Ù","¾ÈºÁ¼­","¾È¾²·¯¿ö","¾È¾²·´´Ù","¾ÈÁÁ¾Æº¸","¾ÈÁÁ¾Æº¸ÀÌ³×","¾ÈÇØ³õÀ»±î","¾æÈ£","¾ö¸¶","¾ö¸¶¿Ð","¾öÃ»Å©³×","¾öÃ»Å©³×¿ä","¿¡´Ù","¿©·¯ºÐµéÀÇ°ü½É¸¸ÀÌ¿ì¸®³ª¶óµ¿ÇØ¿Íµ¶µµ¸¦ÁöÅ³¼ö","¿©·¯ºÐµéÀÇ°ü½É¸¸ÀÌ¿ì¸®³ª¶óµ¿ÇØ¿Íµ¶µµ¸¦ÁöÅ³¼öÀÖ½À´Ï","¿©·¯ºÐµéÀÇ°ü½É¸¸ÀÌ¿ì¸®³ª¶óµ¿ÇØ¿Íµ¶µµ¸¦ÁöÅ³¼öÀÖ½À´Ï´Ù","¿¬»ìÅ¸","¿¹°í","¿¹¾Ð","¿Â°Ç°­","¿Í¿À","¿ì¸®","¿ì¸®³ª¶ó","¿ì¸®³ª¶óµµ´õ½ÉÇÏ°Ô¿ï¸éµÇ´Â°Å¾Æ´Õ´Ï±î","¿ì¸®ÁýÀÎµ¥¿Ö¿ì¸®ÁýÀÌ¶ó´Â°ÉÁõ¸íÀ»ÇØ¾ß´ÂÁö¸ð¸£°Ú´Ù´ÂºñÀ¯°¡ÇÏ°í½Í³×","¿ì¸®ÁýÀÎµ¥¿Ö¿ì¸®ÁýÀÌ¶ó´Â°ÉÁõ¸íÀ»ÇØ¾ß´ÂÁö¸ð¸£°Ú´Ù´ÂºñÀ¯°¡ÇÏ°í½Í³×¿ä","À½¾ÇÇÁ·Î","ÀÇ¿Þµ¥","ÀÌ°Åº¸°íÅ¾¹êµå³¡ºÎºÐÀÌ¶óµµº¸·Á","ÀÌ½Ã","ÀÌ½Ã°£¿¡","ÀÏº»°¡¼­","ŸçÆR","Àß»ý±â´Ù","Àå±º´Ô","Àå³­¾Æ´Ï","Àå³­¾Æ´Ï°í","Àç¹Ì","Àç¹Õ","Àç¹Õ³ª","Àç¹Õ³ª¿ä","Á¦¹ß¼Ò±ØÀûÀÎ¿Ü±³°¡¾Æ´ÑÀû±ØÀûÀÎ¿Ü±³ºÎÅ¹","Á¦¹ßÀÌ°ÇÁ¤ºÎ¸¸ÀÇ¹®Á¦°¡¾Æ´Ï¶ó¿ì¸®¹®Á¦µµ","Á¶¿ëÇÑ¿Ü±³","ÁÖ°Å","Á×Àð","Áö±Ýµ¶µµ¹®Á¦¿Íµ¿ÇØÇ¥±â¹®Á¦°¡ÀÕ½´ÁÒ","Áö±Ý¿ï¾ö¸¶¶û±¤°³ÅäÅÂ¿Õº¸°íÀÕ´Âµ¥","Áø½É","ÁøÂ¥","Ã¼ÇèÇÐ½À°¥¸¸ÇÑ°÷","ÄÚ°«ÅÚ","ÄÚ°«ÅÚÇÒ¶§","Å¾¹êµå","Å¾¹êµå16","Å¾¹êµå°¡","Å¾¹êµåº¸±¸ÆÄ","ÆÒºÐµéÇÑÅ×","ÇÏÀÌ°í¿À","ÇÏÀÌ¶óÀÌÆ®","È®ÀÎÇØÁÙ°Ô","ÈÄ¹ÝÀü"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"10",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
